motif,0,1,2,3,4,5,6,7,8,9
+0+1+1-2+1-2,0,0,1,2,0,1,0,1,0,1
+0+1+1-2+2+1,2,2,2,3,2,2,3,2,3,1
+0+1+1-2+2+2,3,0,1,5,2,5,1,3,3,3
+0+1+1-2+2-2,1,0,0,0,0,0,0,0,0,0
+0+1+1-2-1+1,0,0,0,0,0,0,2,0,0,1
+0+1+1-2-1-1,1,0,0,0,0,0,0,0,0,0
+0+1+1-2-1-2,0,1,0,0,0,1,0,0,0,0
+0+1+1+0+1+1,247,294,468,435,400,518,397,390,587,457
+0+1+1+0+2+1,147,99,233,252,161,253,223,225,267,252
+0+1+1+0-1+1,7,2,4,1,3,10,5,2,3,13
+0+1+1+0-2+1,7,2,0,2,2,3,5,3,6,3
+0+1+1+0+0+1,38,26,77,49,58,74,57,49,105,66
+0+1+2+1+1+1,176,184,274,355,247,285,306,279,331,320
+0+1+2+1+1+2,23,36,47,57,30,45,72,42,65,42
+0+1+2+1+1-1,13,16,9,25,21,14,27,6,9,18
+0+1+2+1+1-2,2,4,2,6,1,4,4,4,5,3
+0+1+2+1+1+0,346,363,441,513,489,549,598,622,628,511
+0+1+2+1+2+1,56,89,120,137,89,131,121,151,150,148
+0+1+2+1+2+2,101,73,114,114,114,130,136,110,186,160
+0+1+2+1+2-1,2,0,2,2,3,8,1,3,1,2
+0+1+2+1+2-2,0,0,0,1,0,4,0,2,0,0
